20230215 22:44:12 INFO  [main] SalesForce.Tc01 Tc01.java18 - test case 1 inside
20230215 22:44:13 INFO  [main] SalesForce.Tc01 Tc01.java37 - test Case 1 passed
20230215 22:44:31 INFO  [main] SalesForce.Tc01 Tc01.java69 - testcase 02 passed
20230215 22:44:43 INFO  [main] SalesForce.Tc01 Tc01.java110 - testcase 03 passed
20230215 22:44:53 INFO  [main] SalesForce.Tc01 Tc01.java143 - testcase 04 passed
20230215 23:12:47 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230215 23:12:47 INFO  [main] SalesForce.Tc01 Tc01.java39 - test Case 1 passed
20230215 23:13:11 INFO  [main] SalesForce.Tc01 Tc01.java71 - testcase 02 passed
20230215 23:13:35 INFO  [main] SalesForce.Tc01 Tc01.java112 - testcase 03 passed
20230215 23:16:02 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230215 23:16:03 INFO  [main] SalesForce.Tc01 Tc01.java39 - test Case 1 passed
20230215 23:16:46 INFO  [main] SalesForce.Tc01 Tc01.java71 - testcase 02 passed
20230215 23:17:03 INFO  [main] SalesForce.Tc01 Tc01.java208 - testcase 05 passed
20230215 23:17:21 INFO  [main] SalesForce.Tc01 Tc01.java112 - testcase 03 passed
20230215 23:22:26 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230215 23:23:05 INFO  [main] SalesForce.Tc01 Tc01.java72 - testcase 02 passed
20230215 23:23:29 INFO  [main] SalesForce.Tc01 Tc01.java209 - testcase 05 passed
20230215 23:23:43 INFO  [main] SalesForce.Tc01 Tc01.java113 - testcase 03 passed
20230215 23:29:35 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230215 23:29:36 INFO  [main] SalesForce.Tc01 Tc01.java39 - test Case 1 passed
20230215 23:30:09 INFO  [main] SalesForce.Tc01 Tc01.java74 - testcase 02 passed
20230215 23:30:27 INFO  [main] SalesForce.Tc01 Tc01.java211 - testcase 05 passed
20230215 23:30:40 INFO  [main] SalesForce.Tc01 Tc01.java115 - testcase 03 passed
20230216 00:14:30 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:errorMessageBlankPassword
20230216 00:14:37 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230216 00:14:38 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (3385e6e291c42cf79646d56fef161af6)] -> id: username]
20230216 00:14:38 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (3385e6e291c42cf79646d56fef161af6)] -> id: password]
20230216 00:14:38 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (3385e6e291c42cf79646d56fef161af6)] -> id: Login]
20230216 00:14:38 INFO  [main] SalesForce.Tc01 Tc01.java39 - test Case 1 passed
20230216 00:14:39 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:errorMessageBlankPassword
20230216 00:17:47 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:errorMessageBlankPassword
20230216 00:17:54 INFO  [main] SalesForce.Tc01 Tc01.java20 - test case 1 inside
20230216 00:17:54 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (7f30eb46bd4619efbcf0dff6bec58e0d)] -> id: username]
20230216 00:17:54 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (7f30eb46bd4619efbcf0dff6bec58e0d)] -> id: password]
20230216 00:17:54 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (7f30eb46bd4619efbcf0dff6bec58e0d)] -> id: Login]
20230216 00:17:55 INFO  [main] SalesForce.Tc01 Tc01.java39 - test Case 1 passed
20230216 00:17:55 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:errorMessageBlankPassword
20230216 00:17:56 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:errorWIthInvalidCred
20230216 00:18:07 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (1118e82fb2549bc60deda1c5eaaf6e92)] -> id: username]
20230216 00:18:08 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (1118e82fb2549bc60deda1c5eaaf6e92)] -> id: password]
20230216 00:18:08 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (1118e82fb2549bc60deda1c5eaaf6e92)] -> id: Login]
20230216 00:18:08 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:errorWIthInvalidCred
20230216 00:18:09 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:forgotPassword
20230216 00:18:16 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (918f5d01eae5126c3ce275ec2fd8e613)] -> id: forgot_password_link]
20230216 00:18:16 INFO  [main] SalesForce.BaseClass BaseClass.java131 - waiting for element:[[ChromeDriver: chrome on WINDOWS (918f5d01eae5126c3ce275ec2fd8e613)] -> id: un]
20230216 00:18:16 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (918f5d01eae5126c3ce275ec2fd8e613)] -> id: un]
20230216 00:18:17 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (918f5d01eae5126c3ce275ec2fd8e613)] -> id: continue]
20230216 00:18:17 INFO  [main] SalesForce.BaseClass BaseClass.java131 - waiting for element:[[ChromeDriver: chrome on WINDOWS (918f5d01eae5126c3ce275ec2fd8e613)] -> class name: mb12]
20230216 00:18:18 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:forgotPassword
20230216 00:18:18 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:login
20230216 00:18:25 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (f764823faf6ba539ec1193498da07064)] -> id: username]
20230216 00:18:25 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (f764823faf6ba539ec1193498da07064)] -> id: password]
20230216 00:18:25 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (f764823faf6ba539ec1193498da07064)] -> id: Login]
20230216 00:18:28 INFO  [main] SalesForce.Tc01 Tc01.java75 - testcase 02 passed
20230216 00:18:28 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:login
20230216 00:18:29 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:userMenuDropDown
20230216 00:18:37 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> id: username]
20230216 00:18:37 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> id: password]
20230216 00:18:37 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> xpath: //input[@id='rememberUn']]
20230216 00:18:38 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> id: Login]
20230216 00:18:47 INFO  [main] SalesForce.BaseClass BaseClass.java138 - action performing on:[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> id: userNavLabel]
20230216 00:18:47 INFO  [main] SalesForce.BaseClass BaseClass.java126 - clicked[[ChromeDriver: chrome on WINDOWS (4662197ee10e6cafa4ece66515d59f45)] -> id: userNavLabel]
20230216 00:18:47 INFO  [main] SalesForce.Tc01 Tc01.java212 - testcase 05 passed
20230216 00:18:47 INFO  [main] SalesForce.BaseClass BaseClass.java71 - Driver close:userMenuDropDown
20230216 00:18:47 INFO  [main] SalesForce.BaseClass BaseClass.java56 - Started test script:validateCheck
